TypeDeclarationContextName,DataView,Name,Enabled,Expression,ProcessStatus,PropertyGroupKey,PropertyKnownName,DefaultOrder,PropertyType,DefaultValue,IsNullable,IsDbGenerated,PropertyCategory,EntityReferenceSimplePath,IsForeignKey,SourcePropertyName,ForeignKeyPropertyCategory,OnUIWhenDisplay,OnUIWhenEdit,OnUIWhenCreate,OnUIWhenSummary,QuickFilter
SalesOrderHeader,,SalesOrderID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,0,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderHeader,,RevisionNumber,True,,FromDefault,,Unknown,100,SystemByte,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,OrderDate,True,,FromDefault,,Unknown,200,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,DueDate,True,,FromDefault,,Unknown,300,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,ShipDate,True,,FromDefault,,Unknown,400,SystemDateTime,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,Status,True,,FromDefault,,Unknown,500,SystemByte,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,OnlineOrderFlag,True,,FromDefault,,Unknown,600,SystemBoolean,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,True
SalesOrderHeader,,SalesOrderNumber,True,,FromDefault,,Unknown,700,SystemString,,False,True,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderHeader,,PurchaseOrderNumber,True,,FromDefault,,Unknown,800,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,AccountNumber,True,,FromDefault,,Unknown,900,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,CustomerID,True,,FromDefault,,Unknown,1000,SystemInt32,,False,False,Unknown,\CustomerID,True,,Ancestor,Display,Editor,Editor,Display,False
SalesOrderHeader,,ShipToAddressID,True,,FromDefault,,Unknown,1100,SystemInt32,,True,False,Unknown,\ShipToAddressID,True,,Ancestor,Display,Editor,Editor,Display,False
SalesOrderHeader,,BillToAddressID,True,,FromDefault,,Unknown,1200,SystemInt32,,True,False,Unknown,\BillToAddressID,True,,Ancestor,Display,Editor,Editor,Display,False
SalesOrderHeader,,ShipMethod,True,,FromDefault,,Unknown,1300,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,CreditCardApprovalCode,True,,FromDefault,,Unknown,1400,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,SubTotal,True,,FromDefault,,Unknown,1500,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,TaxAmt,True,,FromDefault,,Unknown,1600,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,Freight,True,,FromDefault,,Unknown,1700,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,TotalDue,True,,FromDefault,,Unknown,1800,SystemDecimal,,False,True,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderHeader,,Comment,True,,FromDefault,,Unknown,1900,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderHeader,,rowguid,True,,FromDefault,,RowGuid,2000,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderHeader,,ModifiedDate,True,,FromDefault,,Unknown,2100,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderHeader,DefaultView,SalesOrderID,True,(!SystemInt32)SalesOrderID=SalesOrderID~Identifier,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,0,SystemInt32,"",False,True,Identifier,,False,SalesOrderID,NotForeignKey,Display,Display,None,Display,False
AdventureWorksLT2019Model.SalesOrderHeader,DefaultView,RevisionNumber,True,(SystemByte)RevisionNumber=RevisionNumber,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,100,SystemByte,"",False,False,Unknown,,False,RevisionNumber,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderHeader,DefaultView,OrderDate,True,(SystemDateTime)OrderDate=OrderDate,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,200,SystemDateTime,"",False,False,Unknown,,False,OrderDate,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderHeader,DefaultView,DueDate,True,(SystemDateTime)DueDate=DueDate,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,300,SystemDateTime,"",False,False,Unknown,,False,DueDate,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderHeader,DefaultView,ShipDate,True,(SystemDateTime?)ShipDate=ShipDate,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,400,SystemDateTime,"",True,False,Unknown,,False,ShipDate,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderHeader,DefaultView,Status,True,(SystemByte)Status=Status,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,500,SystemByte,"",False,False,Unknown,,False,Status,NotForeignKey,Display,Editor,Editor,Display,False
